Ref_Date,GEO,Geographical classification,SEX,CAUSES,UNIT,Vector,Coordinate,Value
2003/2005,"Trois-Rivières, Quebec",24442,Females,All invasive primary cancer sites (including in situ bladder),"Low 95% confidence interval, cancer incidence",v79916880,9.3.1.2,320.9
2004/2006,"Trois-Rivières, Quebec",24442,Females,All invasive primary cancer sites (including in situ bladder),"Low 95% confidence interval, cancer incidence",v79916880,9.3.1.2,318.1
2005/2007,"Trois-Rivières, Quebec",24442,Females,All invasive primary cancer sites (including in situ bladder),"Low 95% confidence interval, cancer incidence",v79916880,9.3.1.2,330.1
1996/1998,"Trois-Rivières, Quebec",24442,Females,All invasive primary cancer sites (including in situ bladder),"High 95% confidence interval, cancer incidence",v79916881,9.3.1.3,356.4
1997/1999,"Trois-Rivières, Quebec",24442,Females,All invasive primary cancer sites (including in situ bladder),"High 95% confidence interval, cancer incidence",v79916881,9.3.1.3,348.2
1998/2000,"Trois-Rivières, Quebec",24442,Females,All invasive primary cancer sites (including in situ bladder),"High 95% confidence interval, cancer incidence",v79916881,9.3.1.3,366
1999/2001,"Trois-Rivières, Quebec",24442,Females,All invasive primary cancer sites (including in situ bladder),"High 95% confidence interval, cancer incidence",v79916881,9.3.1.3,371.5
2000/2002,"Trois-Rivières, Quebec",24442,Females,All invasive primary cancer sites (including in situ bladder),"High 95% confidence interval, cancer incidence",v79916881,9.3.1.3,384.5
2001/2003,"Trois-Rivières, Quebec",24442,Females,All invasive primary cancer sites (including in situ bladder),"High 95% confidence interval, cancer incidence",v79916881,9.3.1.3,377.7
2002/2004,"Trois-Rivières, Quebec",24442,Females,All invasive primary cancer sites (including in situ bladder),"High 95% confidence interval, cancer incidence",v79916881,9.3.1.3,357.8
2003/2005,"Trois-Rivières, Quebec",24442,Females,All invasive primary cancer sites (including in situ bladder),"High 95% confidence interval, cancer incidence",v79916881,9.3.1.3,363.9
2004/2006,"Trois-Rivières, Quebec",24442,Females,All invasive primary cancer sites (including in situ bladder),"High 95% confidence interval, cancer incidence",v79916881,9.3.1.3,361.3
2005/2007,"Trois-Rivières, Quebec",24442,Females,All invasive primary cancer sites (including in situ bladder),"High 95% confidence interval, cancer incidence",v79916881,9.3.1.3,373.7
1996/1998,"Trois-Rivières, Quebec",24442,Females,All invasive primary cancer sites (including in situ bladder),Statistically different from total,v79916882,9.3.1.4,1
1997/1999,"Trois-Rivières, Quebec",24442,Females,All invasive primary cancer sites (including in situ bladder),Statistically different from total,v79916882,9.3.1.4,0
1998/2000,"Trois-Rivières, Quebec",24442,Females,All invasive primary cancer sites (including in situ bladder),Statistically different from total,v79916882,9.3.1.4,1
1999/2001,"Trois-Rivières, Quebec",24442,Females,All invasive primary cancer sites (including in situ bladder),Statistically different from total,v79916882,9.3.1.4,1
2000/2002,"Trois-Rivières, Quebec",24442,Females,All invasive primary cancer sites (including in situ bladder),Statistically different from total,v79916882,9.3.1.4,1
2001/2003,"Trois-Rivières, Quebec",24442,Females,All invasive primary cancer sites (including in situ bladder),Statistically different from total,v79916882,9.3.1.4,1
2002/2004,"Trois-Rivières, Quebec",24442,Females,All invasive primary cancer sites (including in situ bladder),Statistically different from total,v79916882,9.3.1.4,0
2003/2005,"Trois-Rivières, Quebec",24442,Females,All invasive primary cancer sites (including in situ bladder),Statistically different from total,v79916882,9.3.1.4,0
2004/2006,"Trois-Rivières, Quebec",24442,Females,All invasive primary cancer sites (including in situ bladder),Statistically different from total,v79916882,9.3.1.4,0
2005/2007,"Trois-Rivières, Quebec",24442,Females,All invasive primary cancer sites (including in situ bladder),Statistically different from total,v79916882,9.3.1.4,0
1996/1998,"Trois-Rivières, Quebec",24442,Females,All invasive primary cancer sites (including in situ bladder),Statistically different from reference period five years previous,v79916883,9.3.1.5,..
1997/1999,"Trois-Rivières, Quebec",24442,Females,All invasive primary cancer sites (including in situ bladder),Statistically different from reference period five years previous,v79916883,9.3.1.5,0
1998/2000,"Trois-Rivières, Quebec",24442,Females,All invasive primary cancer sites (including in situ bladder),Statistically different from reference period five years previous,v79916883,9.3.1.5,0
1999/2001,"Trois-Rivières, Quebec",24442,Females,All invasive primary cancer sites (including in situ bladder),Statistically different from reference period five years previous,v79916883,9.3.1.5,0
2000/2002,"Trois-Rivières, Quebec",24442,Females,All invasive primary cancer sites (including in situ bladder),Statistically different from reference period five years previous,v79916883,9.3.1.5,0
2001/2003,"Trois-Rivières, Quebec",24442,Females,All invasive primary cancer sites (including in situ bladder),Statistically different from reference period five years previous,v79916883,9.3.1.5,0
2002/2004,"Trois-Rivières, Quebec",24442,Females,All invasive primary cancer sites (including in situ bladder),Statistically different from reference period five years previous,v79916883,9.3.1.5,0
2003/2005,"Trois-Rivières, Quebec",24442,Females,All invasive primary cancer sites (including in situ bladder),Statistically different from reference period five years previous,v79916883,9.3.1.5,0
2004/2006,"Trois-Rivières, Quebec",24442,Females,All invasive primary cancer sites (including in situ bladder),Statistically different from reference period five years previous,v79916883,9.3.1.5,0
2005/2007,"Trois-Rivières, Quebec",24442,Females,All invasive primary cancer sites (including in situ bladder),Statistically different from reference period five years previous,v79916883,9.3.1.5,0
1996/1998,"Trois-Rivières, Quebec",24442,Females,"Colon, rectum and rectosigmoid junction cancer",Cancer incidence,v79916884,9.3.2.1,39.8
1997/1999,"Trois-Rivières, Quebec",24442,Females,"Colon, rectum and rectosigmoid junction cancer",Cancer incidence,v79916884,9.3.2.1,39.6
1998/2000,"Trois-Rivières, Quebec",24442,Females,"Colon, rectum and rectosigmoid junction cancer",Cancer incidence,v79916884,9.3.2.1,44.6
1999/2001,"Trois-Rivières, Quebec",24442,Females,"Colon, rectum and rectosigmoid junction cancer",Cancer incidence,v79916884,9.3.2.1,47.8
2000/2002,"Trois-Rivières, Quebec",24442,Females,"Colon, rectum and rectosigmoid junction cancer",Cancer incidence,v79916884,9.3.2.1,48.8
2001/2003,"Trois-Rivières, Quebec",24442,Females,"Colon, rectum and rectosigmoid junction cancer",Cancer incidence,v79916884,9.3.2.1,47.2
2002/2004,"Trois-Rivières, Quebec",24442,Females,"Colon, rectum and rectosigmoid junction cancer",Cancer incidence,v79916884,9.3.2.1,41.4
2003/2005,"Trois-Rivières, Quebec",24442,Females,"Colon, rectum and rectosigmoid junction cancer",Cancer incidence,v79916884,9.3.2.1,39.8
2004/2006,"Trois-Rivières, Quebec",24442,Females,"Colon, rectum and rectosigmoid junction cancer",Cancer incidence,v79916884,9.3.2.1,37
2005/2007,"Trois-Rivières, Quebec",24442,Females,"Colon, rectum and rectosigmoid junction cancer",Cancer incidence,v79916884,9.3.2.1,39.1
1996/1998,"Trois-Rivières, Quebec",24442,Females,"Colon, rectum and rectosigmoid junction cancer","Low 95% confidence interval, cancer incidence",v79916885,9.3.2.2,32.8
1997/1999,"Trois-Rivières, Quebec",24442,Females,"Colon, rectum and rectosigmoid junction cancer","Low 95% confidence interval, cancer incidence",v79916885,9.3.2.2,32.8
1998/2000,"Trois-Rivières, Quebec",24442,Females,"Colon, rectum and rectosigmoid junction cancer","Low 95% confidence interval, cancer incidence",v79916885,9.3.2.2,37.5
1999/2001,"Trois-Rivières, Quebec",24442,Females,"Colon, rectum and rectosigmoid junction cancer","Low 95% confidence interval, cancer incidence",v79916885,9.3.2.2,40.5
2000/2002,"Trois-Rivières, Quebec",24442,Females,"Colon, rectum and rectosigmoid junction cancer","Low 95% confidence interval, cancer incidence",v79916885,9.3.2.2,41.5
2001/2003,"Trois-Rivières, Quebec",24442,Females,"Colon, rectum and rectosigmoid junction cancer","Low 95% confidence interval, cancer incidence",v79916885,9.3.2.2,40.1
2002/2004,"Trois-Rivières, Quebec",24442,Females,"Colon, rectum and rectosigmoid junction cancer","Low 95% confidence interval, cancer incidence",v79916885,9.3.2.2,34.9
2003/2005,"Trois-Rivières, Quebec",24442,Females,"Colon, rectum and rectosigmoid junction cancer","Low 95% confidence interval, cancer incidence",v79916885,9.3.2.2,33.6
2004/2006,"Trois-Rivières, Quebec",24442,Females,"Colon, rectum and rectosigmoid junction cancer","Low 95% confidence interval, cancer incidence",v79916885,9.3.2.2,31
2005/2007,"Trois-Rivières, Quebec",24442,Females,"Colon, rectum and rectosigmoid junction cancer","Low 95% confidence interval, cancer incidence",v79916885,9.3.2.2,32.9
1996/1998,"Trois-Rivières, Quebec",24442,Females,"Colon, rectum and rectosigmoid junction cancer","High 95% confidence interval, cancer incidence",v79916886,9.3.2.3,48
1997/1999,"Trois-Rivières, Quebec",24442,Females,"Colon, rectum and rectosigmoid junction cancer","High 95% confidence interval, cancer incidence",v79916886,9.3.2.3,47.7
1998/2000,"Trois-Rivières, Quebec",24442,Females,"Colon, rectum and rectosigmoid junction cancer","High 95% confidence interval, cancer incidence",v79916886,9.3.2.3,53.1
1999/2001,"Trois-Rivières, Quebec",24442,Females,"Colon, rectum and rectosigmoid junction cancer","High 95% confidence interval, cancer incidence",v79916886,9.3.2.3,56.7
2000/2002,"Trois-Rivières, Quebec",24442,Females,"Colon, rectum and rectosigmoid junction cancer","High 95% confidence interval, cancer incidence",v79916886,9.3.2.3,57.8
2001/2003,"Trois-Rivières, Quebec",24442,Females,"Colon, rectum and rectosigmoid junction cancer","High 95% confidence interval, cancer incidence",v79916886,9.3.2.3,55.9
2002/2004,"Trois-Rivières, Quebec",24442,Females,"Colon, rectum and rectosigmoid junction cancer","High 95% confidence interval, cancer incidence",v79916886,9.3.2.3,49.2
2003/2005,"Trois-Rivières, Quebec",24442,Females,"Colon, rectum and rectosigmoid junction cancer","High 95% confidence interval, cancer incidence",v79916886,9.3.2.3,47.4
2004/2006,"Trois-Rivières, Quebec",24442,Females,"Colon, rectum and rectosigmoid junction cancer","High 95% confidence interval, cancer incidence",v79916886,9.3.2.3,44.3
2005/2007,"Trois-Rivières, Quebec",24442,Females,"Colon, rectum and rectosigmoid junction cancer","High 95% confidence interval, cancer incidence",v79916886,9.3.2.3,46.5
1996/1998,"Trois-Rivières, Quebec",24442,Females,"Colon, rectum and rectosigmoid junction cancer",Statistically different from total,v79916887,9.3.2.4,0
1997/1999,"Trois-Rivières, Quebec",24442,Females,"Colon, rectum and rectosigmoid junction cancer",Statistically different from total,v79916887,9.3.2.4,0
1998/2000,"Trois-Rivières, Quebec",24442,Females,"Colon, rectum and rectosigmoid junction cancer",Statistically different from total,v79916887,9.3.2.4,0
1999/2001,"Trois-Rivières, Quebec",24442,Females,"Colon, rectum and rectosigmoid junction cancer",Statistically different from total,v79916887,9.3.2.4,1
2000/2002,"Trois-Rivières, Quebec",24442,Females,"Colon, rectum and rectosigmoid junction cancer",Statistically different from total,v79916887,9.3.2.4,1
2001/2003,"Trois-Rivières, Quebec",24442,Females,"Colon, rectum and rectosigmoid junction cancer",Statistically different from total,v79916887,9.3.2.4,1
2002/2004,"Trois-Rivières, Quebec",24442,Females,"Colon, rectum and rectosigmoid junction cancer",Statistically different from total,v79916887,9.3.2.4,0
2003/2005,"Trois-Rivières, Quebec",24442,Females,"Colon, rectum and rectosigmoid junction cancer",Statistically different from total,v79916887,9.3.2.4,0
2004/2006,"Trois-Rivières, Quebec",24442,Females,"Colon, rectum and rectosigmoid junction cancer",Statistically different from total,v79916887,9.3.2.4,0
2005/2007,"Trois-Rivières, Quebec",24442,Females,"Colon, rectum and rectosigmoid junction cancer",Statistically different from total,v79916887,9.3.2.4,0
1996/1998,"Trois-Rivières, Quebec",24442,Females,"Colon, rectum and rectosigmoid junction cancer",Statistically different from reference period five years previous,v79916888,9.3.2.5,..
1997/1999,"Trois-Rivières, Quebec",24442,Females,"Colon, rectum and rectosigmoid junction cancer",Statistically different from reference period five years previous,v79916888,9.3.2.5,0
1998/2000,"Trois-Rivières, Quebec",24442,Females,"Colon, rectum and rectosigmoid junction cancer",Statistically different from reference period five years previous,v79916888,9.3.2.5,0
1999/2001,"Trois-Rivières, Quebec",24442,Females,"Colon, rectum and rectosigmoid junction cancer",Statistically different from reference period five years previous,v79916888,9.3.2.5,0
2000/2002,"Trois-Rivières, Quebec",24442,Females,"Colon, rectum and rectosigmoid junction cancer",Statistically different from reference period five years previous,v79916888,9.3.2.5,0
2001/2003,"Trois-Rivières, Quebec",24442,Females,"Colon, rectum and rectosigmoid junction cancer",Statistically different from reference period five years previous,v79916888,9.3.2.5,0
2002/2004,"Trois-Rivières, Quebec",24442,Females,"Colon, rectum and rectosigmoid junction cancer",Statistically different from reference period five years previous,v79916888,9.3.2.5,0
2003/2005,"Trois-Rivières, Quebec",24442,Females,"Colon, rectum and rectosigmoid junction cancer",Statistically different from reference period five years previous,v79916888,9.3.2.5,0
2004/2006,"Trois-Rivières, Quebec",24442,Females,"Colon, rectum and rectosigmoid junction cancer",Statistically different from reference period five years previous,v79916888,9.3.2.5,0
2005/2007,"Trois-Rivières, Quebec",24442,Females,"Colon, rectum and rectosigmoid junction cancer",Statistically different from reference period five years previous,v79916888,9.3.2.5,0
1996/1998,"Trois-Rivières, Quebec",24442,Females,Bronchus and lung cancer,Cancer incidence,v79916889,9.3.3.1,42
1997/1999,"Trois-Rivières, Quebec",24442,Females,Bronchus and lung cancer,Cancer incidence,v79916889,9.3.3.1,41.4
1998/2000,"Trois-Rivières, Quebec",24442,Females,Bronchus and lung cancer,Cancer incidence,v79916889,9.3.3.1,40.1
1999/2001,"Trois-Rivières, Quebec",24442,Females,Bronchus and lung cancer,Cancer incidence,v79916889,9.3.3.1,44.9
2000/2002,"Trois-Rivières, Quebec",24442,Females,Bronchus and lung cancer,Cancer incidence,v79916889,9.3.3.1,48.6
2001/2003,"Trois-Rivières, Quebec",24442,Females,Bronchus and lung cancer,Cancer incidence,v79916889,9.3.3.1,47
2002/2004,"Trois-Rivières, Quebec",24442,Females,Bronchus and lung cancer,Cancer incidence,v79916889,9.3.3.1,44.6
2003/2005,"Trois-Rivières, Quebec",24442,Females,Bronchus and lung cancer,Cancer incidence,v79916889,9.3.3.1,47.8
2004/2006,"Trois-Rivières, Quebec",24442,Females,Bronchus and lung cancer,Cancer incidence,v79916889,9.3.3.1,52.8
2005/2007,"Trois-Rivières, Quebec",24442,Females,Bronchus and lung cancer,Cancer incidence,v79916889,9.3.3.1,51.5
1996/1998,"Trois-Rivières, Quebec",24442,Females,Bronchus and lung cancer,"Low 95% confidence interval, cancer incidence",v79916890,9.3.3.2,34.8
1997/1999,"Trois-Rivières, Quebec",24442,Females,Bronchus and lung cancer,"Low 95% confidence interval, cancer incidence",v79916890,9.3.3.2,34.3
1998/2000,"Trois-Rivières, Quebec",24442,Females,Bronchus and lung cancer,"Low 95% confidence interval, cancer incidence",v79916890,9.3.3.2,33.2
1999/2001,"Trois-Rivières, Quebec",24442,Females,Bronchus and lung cancer,"Low 95% confidence interval, cancer incidence",v79916890,9.3.3.2,37.6
2000/2002,"Trois-Rivières, Quebec",24442,Females,Bronchus and lung cancer,"Low 95% confidence interval, cancer incidence",v79916890,9.3.3.2,41.2
2001/2003,"Trois-Rivières, Quebec",24442,Females,Bronchus and lung cancer,"Low 95% confidence interval, cancer incidence",v79916890,9.3.3.2,39.9
2002/2004,"Trois-Rivières, Quebec",24442,Females,Bronchus and lung cancer,"Low 95% confidence interval, cancer incidence",v79916890,9.3.3.2,37.7
2003/2005,"Trois-Rivières, Quebec",24442,Females,Bronchus and lung cancer,"Low 95% confidence interval, cancer incidence",v79916890,9.3.3.2,40.7
2004/2006,"Trois-Rivières, Quebec",24442,Females,Bronchus and lung cancer,"Low 95% confidence interval, cancer incidence",v79916890,9.3.3.2,45.3
2005/2007,"Trois-Rivières, Quebec",24442,Females,Bronchus and lung cancer,"Low 95% confidence interval, cancer incidence",v79916890,9.3.3.2,44.1
1996/1998,"Trois-Rivières, Quebec",24442,Females,Bronchus and lung cancer,"High 95% confidence interval, cancer incidence",v79916891,9.3.3.3,50.3
1997/1999,"Trois-Rivières, Quebec",24442,Females,Bronchus and lung cancer,"High 95% confidence interval, cancer incidence",v79916891,9.3.3.3,49.5
1998/2000,"Trois-Rivières, Quebec",24442,Females,Bronchus and lung cancer,"High 95% confidence interval, cancer incidence",v79916891,9.3.3.3,48.1
1999/2001,"Trois-Rivières, Quebec",24442,Females,Bronchus and lung cancer,"High 95% confidence interval, cancer incidence",v79916891,9.3.3.3,53.3
2000/2002,"Trois-Rivières, Quebec",24442,Females,Bronchus and lung cancer,"High 95% confidence interval, cancer incidence",v79916891,9.3.3.3,57
2001/2003,"Trois-Rivières, Quebec",24442,Females,Bronchus and lung cancer,"High 95% confidence interval, cancer incidence",v79916891,9.3.3.3,55.2
2002/2004,"Trois-Rivières, Quebec",24442,Females,Bronchus and lung cancer,"High 95% confidence interval, cancer incidence",v79916891,9.3.3.3,52.4
2003/2005,"Trois-Rivières, Quebec",24442,Females,Bronchus and lung cancer,"High 95% confidence interval, cancer incidence",v79916891,9.3.3.3,56
2004/2006,"Trois-Rivières, Quebec",24442,Females,Bronchus and lung cancer,"High 95% confidence interval, cancer incidence",v79916891,9.3.3.3,61.7
2005/2007,"Trois-Rivières, Quebec",24442,Females,Bronchus and lung cancer,"High 95% confidence interval, cancer incidence",v79916891,9.3.3.3,60.3
1996/1998,"Trois-Rivières, Quebec",24442,Females,Bronchus and lung cancer,Statistically different from total,v79916892,9.3.3.4,0
1997/1999,"Trois-Rivières, Quebec",24442,Females,Bronchus and lung cancer,Statistically different from total,v79916892,9.3.3.4,0
1998/2000,"Trois-Rivières, Quebec",24442,Females,Bronchus and lung cancer,Statistically different from total,v79916892,9.3.3.4,0
1999/2001,"Trois-Rivières, Quebec",24442,Females,Bronchus and lung cancer,Statistically different from total,v79916892,9.3.3.4,0
2000/2002,"Trois-Rivières, Quebec",24442,Females,Bronchus and lung cancer,Statistically different from total,v79916892,9.3.3.4,1
2001/2003,"Trois-Rivières, Quebec",24442,Females,Bronchus and lung cancer,Statistically different from total,v79916892,9.3.3.4,0
2002/2004,"Trois-Rivières, Quebec",24442,Females,Bronchus and lung cancer,Statistically different from total,v79916892,9.3.3.4,0
2003/2005,"Trois-Rivières, Quebec",24442,Females,Bronchus and lung cancer,Statistically different from total,v79916892,9.3.3.4,0
2004/2006,"Trois-Rivières, Quebec",24442,Females,Bronchus and lung cancer,Statistically different from total,v79916892,9.3.3.4,1
2005/2007,"Trois-Rivières, Quebec",24442,Females,Bronchus and lung cancer,Statistically different from total,v79916892,9.3.3.4,1
1996/1998,"Trois-Rivières, Quebec",24442,Females,Bronchus and lung cancer,Statistically different from reference period five years previous,v79916893,9.3.3.5,..
1997/1999,"Trois-Rivières, Quebec",24442,Females,Bronchus and lung cancer,Statistically different from reference period five years previous,v79916893,9.3.3.5,0
1998/2000,"Trois-Rivières, Quebec",24442,Females,Bronchus and lung cancer,Statistically different from reference period five years previous,v79916893,9.3.3.5,0
1999/2001,"Trois-Rivières, Quebec",24442,Females,Bronchus and lung cancer,Statistically different from reference period five years previous,v79916893,9.3.3.5,0
2000/2002,"Trois-Rivières, Quebec",24442,Females,Bronchus and lung cancer,Statistically different from reference period five years previous,v79916893,9.3.3.5,0
2001/2003,"Trois-Rivières, Quebec",24442,Females,Bronchus and lung cancer,Statistically different from reference period five years previous,v79916893,9.3.3.5,0
2002/2004,"Trois-Rivières, Quebec",24442,Females,Bronchus and lung cancer,Statistically different from reference period five years previous,v79916893,9.3.3.5,0
2003/2005,"Trois-Rivières, Quebec",24442,Females,Bronchus and lung cancer,Statistically different from reference period five years previous,v79916893,9.3.3.5,0
2004/2006,"Trois-Rivières, Quebec",24442,Females,Bronchus and lung cancer,Statistically different from reference period five years previous,v79916893,9.3.3.5,0
2005/2007,"Trois-Rivières, Quebec",24442,Females,Bronchus and lung cancer,Statistically different from reference period five years previous,v79916893,9.3.3.5,0
1996/1998,"Trois-Rivières, Quebec",24442,Females,Female breast cancer,Cancer incidence,v79916894,9.3.4.1,99.7
1997/1999,"Trois-Rivières, Quebec",24442,Females,Female breast cancer,Cancer incidence,v79916894,9.3.4.1,94.8
1998/2000,"Trois-Rivières, Quebec",24442,Females,Female breast cancer,Cancer incidence,v79916894,9.3.4.1,101.9
1999/2001,"Trois-Rivières, Quebec",24442,Females,Female breast cancer,Cancer incidence,v79916894,9.3.4.1,101.1
2000/2002,"Trois-Rivières, Quebec",24442,Females,Female breast cancer,Cancer incidence,v79916894,9.3.4.1,105.2
2001/2003,"Trois-Rivières, Quebec",24442,Females,Female breast cancer,Cancer incidence,v79916894,9.3.4.1,100.1
2002/2004,"Trois-Rivières, Quebec",24442,Females,Female breast cancer,Cancer incidence,v79916894,9.3.4.1,92.5
2003/2005,"Trois-Rivières, Quebec",24442,Females,Female breast cancer,Cancer incidence,v79916894,9.3.4.1,86.9
2004/2006,"Trois-Rivières, Quebec",24442,Females,Female breast cancer,Cancer incidence,v79916894,9.3.4.1,82.2
2005/2007,"Trois-Rivières, Quebec",24442,Females,Female breast cancer,Cancer incidence,v79916894,9.3.4.1,89.6
1996/1998,"Trois-Rivières, Quebec",24442,Females,Female breast cancer,"Low 95% confidence interval, cancer incidence",v79916895,9.3.4.2,88.1
1997/1999,"Trois-Rivières, Quebec",24442,Females,Female breast cancer,"Low 95% confidence interval, cancer incidence",v79916895,9.3.4.2,83.8
1998/2000,"Trois-Rivières, Quebec",24442,Females,Female breast cancer,"Low 95% confidence interval, cancer incidence",v79916895,9.3.4.2,90.5
1999/2001,"Trois-Rivières, Quebec",24442,Females,Female breast cancer,"Low 95% confidence interval, cancer incidence",v79916895,9.3.4.2,89.9
2000/2002,"Trois-Rivières, Quebec",24442,Females,Female breast cancer,"Low 95% confidence interval, cancer incidence",v79916895,9.3.4.2,93.7
2001/2003,"Trois-Rivières, Quebec",24442,Females,Female breast cancer,"Low 95% confidence interval, cancer incidence",v79916895,9.3.4.2,88.7
2002/2004,"Trois-Rivières, Quebec",24442,Females,Female breast cancer,"Low 95% confidence interval, cancer incidence",v79916895,9.3.4.2,81.6
2003/2005,"Trois-Rivières, Quebec",24442,Females,Female breast cancer,"Low 95% confidence interval, cancer incidence",v79916895,9.3.4.2,76.3
2004/2006,"Trois-Rivières, Quebec",24442,Females,Female breast cancer,"Low 95% confidence interval, cancer incidence",v79916895,9.3.4.2,72.1
2005/2007,"Trois-Rivières, Quebec",24442,Females,Female breast cancer,"Low 95% confidence interval, cancer incidence",v79916895,9.3.4.2,78.9
1996/1998,"Trois-Rivières, Quebec",24442,Females,Female breast cancer,"High 95% confidence interval, cancer incidence",v79916896,9.3.4.3,112.7
1997/1999,"Trois-Rivières, Quebec",24442,Females,Female breast cancer,"High 95% confidence interval, cancer incidence",v79916896,9.3.4.3,107.3
1998/2000,"Trois-Rivières, Quebec",24442,Females,Female breast cancer,"High 95% confidence interval, cancer incidence",v79916896,9.3.4.3,114.7
1999/2001,"Trois-Rivières, Quebec",24442,Females,Female breast cancer,"High 95% confidence interval, cancer incidence",v79916896,9.3.4.3,113.8
2000/2002,"Trois-Rivières, Quebec",24442,Females,Female breast cancer,"High 95% confidence interval, cancer incidence",v79916896,9.3.4.3,118.3
2001/2003,"Trois-Rivières, Quebec",24442,Females,Female breast cancer,"High 95% confidence interval, cancer incidence",v79916896,9.3.4.3,113
2002/2004,"Trois-Rivières, Quebec",24442,Females,Female breast cancer,"High 95% confidence interval, cancer incidence",v79916896,9.3.4.3,105.1
2003/2005,"Trois-Rivières, Quebec",24442,Females,Female breast cancer,"High 95% confidence interval, cancer incidence",v79916896,9.3.4.3,99.1
2004/2006,"Trois-Rivières, Quebec",24442,Females,Female breast cancer,"High 95% confidence interval, cancer incidence",v79916896,9.3.4.3,94.1
2005/2007,"Trois-Rivières, Quebec",24442,Females,Female breast cancer,"High 95% confidence interval, cancer incidence",v79916896,9.3.4.3,102
1996/1998,"Trois-Rivières, Quebec",24442,Females,Female breast cancer,Statistically different from total,v79916897,9.3.4.4,0
1997/1999,"Trois-Rivières, Quebec",24442,Females,Female breast cancer,Statistically different from total,v79916897,9.3.4.4,0
1998/2000,"Trois-Rivières, Quebec",24442,Females,Female breast cancer,Statistically different from total,v79916897,9.3.4.4,0
1999/2001,"Trois-Rivières, Quebec",24442,Females,Female breast cancer,Statistically different from total,v79916897,9.3.4.4,0
2000/2002,"Trois-Rivières, Quebec",24442,Females,Female breast cancer,Statistically different from total,v79916897,9.3.4.4,1
2001/2003,"Trois-Rivières, Quebec",24442,Females,Female breast cancer,Statistically different from total,v79916897,9.3.4.4,0
2002/2004,"Trois-Rivières, Quebec",24442,Females,Female breast cancer,Statistically different from total,v79916897,9.3.4.4,0
2003/2005,"Trois-Rivières, Quebec",24442,Females,Female breast cancer,Statistically different from total,v79916897,9.3.4.4,0
2004/2006,"Trois-Rivières, Quebec",24442,Females,Female breast cancer,Statistically different from total,v79916897,9.3.4.4,0
2005/2007,"Trois-Rivières, Quebec",24442,Females,Female breast cancer,Statistically different from total,v79916897,9.3.4.4,0
1996/1998,"Trois-Rivières, Quebec",24442,Females,Female breast cancer,Statistically different from reference period five years previous,v79916898,9.3.4.5,..
1997/1999,"Trois-Rivières, Quebec",24442,Females,Female breast cancer,Statistically different from reference period five years previous,v79916898,9.3.4.5,0
1998/2000,"Trois-Rivières, Quebec",24442,Females,Female breast cancer,Statistically different from reference period five years previous,v79916898,9.3.4.5,0
1999/2001,"Trois-Rivières, Quebec",24442,Females,Female breast cancer,Statistically different from reference period five years previous,v79916898,9.3.4.5,0
2000/2002,"Trois-Rivières, Quebec",24442,Females,Female breast cancer,Statistically different from reference period five years previous,v79916898,9.3.4.5,0
2001/2003,"Trois-Rivières, Quebec",24442,Females,Female breast cancer,Statistically different from reference period five years previous,v79916898,9.3.4.5,0
2002/2004,"Trois-Rivières, Quebec",24442,Females,Female breast cancer,Statistically different from reference period five years previous,v79916898,9.3.4.5,0
2003/2005,"Trois-Rivières, Quebec",24442,Females,Female breast cancer,Statistically different from reference period five years previous,v79916898,9.3.4.5,0
2004/2006,"Trois-Rivières, Quebec",24442,Females,Female breast cancer,Statistically different from reference period five years previous,v79916898,9.3.4.5,0
2005/2007,"Trois-Rivières, Quebec",24442,Females,Female breast cancer,Statistically different from reference period five years previous,v79916898,9.3.4.5,0
1996/1998,"Montréal, Quebec",24462,Both sexes,All invasive primary cancer sites (including in situ bladder),Cancer incidence,v79916899,10.1.1.1,387.1
1997/1999,"Montréal, Quebec",24462,Both sexes,All invasive primary cancer sites (including in situ bladder),Cancer incidence,v79916899,10.1.1.1,391.6
1998/2000,"Montréal, Quebec",24462,Both sexes,All invasive primary cancer sites (including in situ bladder),Cancer incidence,v79916899,10.1.1.1,403.4
1999/2001,"Montréal, Quebec",24462,Both sexes,All invasive primary cancer sites (including in situ bladder),Cancer incidence,v79916899,10.1.1.1,411.5
2000/2002,"Montréal, Quebec",24462,Both sexes,All invasive primary cancer sites (including in situ bladder),Cancer incidence,v79916899,10.1.1.1,412.7
2001/2003,"Montréal, Quebec",24462,Both sexes,All invasive primary cancer sites (including in situ bladder),Cancer incidence,v79916899,10.1.1.1,411.4
2002/2004,"Montréal, Quebec",24462,Both sexes,All invasive primary cancer sites (including in situ bladder),Cancer incidence,v79916899,10.1.1.1,407.6
2003/2005,"Montréal, Quebec",24462,Both sexes,All invasive primary cancer sites (including in situ bladder),Cancer incidence,v79916899,10.1.1.1,412.3
2004/2006,"Montréal, Quebec",24462,Both sexes,All invasive primary cancer sites (including in situ bladder),Cancer incidence,v79916899,10.1.1.1,413.3
2005/2007,"Montréal, Quebec",24462,Both sexes,All invasive primary cancer sites (including in situ bladder),Cancer incidence,v79916899,10.1.1.1,414.3
1996/1998,"Montréal, Quebec",24462,Both sexes,All invasive primary cancer sites (including in situ bladder),"Low 95% confidence interval, cancer incidence",v79916900,10.1.1.2,383.4
1997/1999,"Montréal, Quebec",24462,Both sexes,All invasive primary cancer sites (including in situ bladder),"Low 95% confidence interval, cancer incidence",v79916900,10.1.1.2,388
